""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAR071W"	319.043913683148	-1.23301075348617	0.203975770715957	-6.04488831765795	1.49513533271296e-09	6.05623255707042e-07
"YBR054W"	1885.16965912913	-1.54825140307086	0.145918825276407	-10.6103609327863	2.66716752502983e-26	4.32147818242959e-23
"YEL070W"	47.7422222713786	1.1513602631911	0.306376523093121	3.75799115273969	0.000171282935892422	0.0199475661246443
"YER081W"	1494.49716731954	1.0963705676535	0.0926076368272862	11.8388785764854	2.45716435513872e-32	5.30829406188468e-29
"YFL014W"	31181.9344350388	-1.93106433574399	0.267498165956147	-7.21898159130019	5.23783445087167e-13	2.73930765105251e-10
"YFR052C-A"	3210.8650979517	-1.28308226288712	0.248167467011978	-5.17022750135574	2.33809180453223e-07	7.21579665960639e-05
"YFR053C"	27004.5325981476	-1.22391073292396	0.131114756324692	-9.33465284329306	1.01322745047558e-20	1.31334542130644e-17
"YGR138C"	281.147887122921	-1.27104081669252	0.176228279373672	-7.21246794901415	5.49467666466326e-13	2.73930765105251e-10
"YHR136C"	60.4268549080929	-2.34923392069266	0.365220696289513	-6.43236800258003	1.25631119609243e-10	5.42810190791668e-08
"YHR214W"	244.054837615615	1.42523115251052	0.182586777146592	7.80577419013344	5.91373825476554e-15	4.25854862545949e-12
"YHR214W-A"	382.369067079155	1.21134774409319	0.185729721062761	6.52209962499138	6.93299378862498e-11	3.20948091029132e-08
"YHR215W"	626.674551801539	-1.37041721772239	0.155211976503304	-8.829326502992	1.05307897207227e-18	1.13750080300006e-15
"YIR041W"	8.01506415387907	6.34161010503088	1.28488868874118	4.93553267345193	7.9932296947497e-07	0.000207216486606691
"YJL052W"	6957.14847250357	-1.08586577119845	0.144377554240139	-7.52101513918403	5.43525547234986e-14	3.52258907162994e-11
"YJR005C-A"	56.3576920473104	1.26182034343319	0.335910143734034	3.75642226640308	0.00017235977518594	0.0199475661246443
"YJR150C"	109.997095132384	2.251694392908	0.260803833475789	8.63367061326968	5.94139285030699e-18	5.50088100897708e-15
"YJR159W"	94.1473687576633	-1.3527506168214	0.336862445622613	-4.01573590170062	5.92605883870897e-05	0.00768135746673456
"YLR156W"	7.34401417878637	-5.68698804157343	1.33982070782759	-4.24458885308199	2.18994580866819e-05	0.00354825969649464
"YLR157W-D"	10.7915776436099	-6.05834336607247	1.29492943729981	-4.6785123509937	2.88963767326025e-06	0.000624258058679989
"YLR159W"	7.34401417878637	-5.68698804157343	1.33982070782759	-4.24458885308199	2.18994580866819e-05	0.00354825969649464
"YLR161W"	7.34401417878637	-5.68698804157343	1.33982070782759	-4.24458885308199	2.18994580866819e-05	0.00354825969649464
"YML123C"	1596.94604455356	-3.27849375351555	0.131598551539484	-24.9128407202256	5.40087984081199e-137	3.50031022483025e-133
"YMR251W-A"	5028.89495269268	-1.26786012670426	0.248879166590575	-5.09427986308707	3.50069327032217e-07	0.000103127241295263
"YNL160W"	26305.8760637452	-1.40474737521767	0.100277384875291	-14.0086159702377	1.38069507067902e-44	4.47414237653535e-41
"YPL019C"	1172.54779178004	-1.0442665691091	0.141371650993615	-7.38667591252978	1.50544936130952e-13	8.86983391876998e-11
