""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"Q0140"	10.4621919390357	-1.30072876143615	0.594264354600454	-2.18880495080456	0.0286110197479836	0.044307770367188
"YAL002W"	772.609213852169	1.27688421289951	0.128654507698777	9.92490846794981	3.24400230980876e-23	1.57132877203816e-22
"YAL003W"	14743.9545723415	-2.26027151938458	0.171368894009491	-13.1895087054679	1.00840272956441e-39	7.38469840712646e-39
"YAL005C"	54825.7977004424	3.14107157342205	0.117956713383331	26.6290190980001	3.13223634759583e-156	1.03045805932835e-154
"YAL008W"	645.553891565133	1.65574337728817	0.146456390372288	11.3053679192783	1.23435702585153e-29	7.136367425998e-29
"YAL012W"	14229.4629717613	-1.43483358051018	0.125878434344606	-11.3985655126768	4.25065121059121e-30	2.48408210061692e-29
"YAL016C-B"	36.4965112530306	2.42583410586569	0.394576670898183	6.14794103347192	7.84952022793265e-10	2.37390296767296e-09
"YAL017W"	1142.58550379625	2.02096709570951	0.235796483505203	8.57081100475747	1.02758771336943e-17	4.28558299250145e-17
"YAL019W"	386.372949468395	-1.32892160661138	0.21746800523906	-6.11088332350549	9.90811867512508e-10	2.979791978352e-09
"YAL025C"	417.789436073827	-4.77307023534996	0.229289093893016	-20.8168219181721	3.04738635391391e-96	5.79182139581116e-95
"YAL028W"	339.880498018913	2.64328674135591	0.166650629818578	15.8612466345521	1.1753741145301e-56	1.2246944752845e-55
"YAL033W"	249.951737558956	-1.2988158603179	0.185386827109812	-7.00597707273218	2.45268080325143e-12	8.37945402523589e-12
"YAL034C"	812.399157652244	2.13291521708986	0.112554419996348	18.9500795895804	4.40915983633646e-80	6.43598308542716e-79
"YAL034C-B"	22.984003322604	-1.86353483333271	0.456760577863376	-4.07989420201259	4.50562025477249e-05	9.91879241548251e-05
"YAL034W-A"	75.1464913747414	-1.10547788282325	0.253313178716793	-4.36407568063875	1.27661379480478e-05	2.94124920161031e-05
"YAL035W"	2555.6031318484	-1.61222843599573	0.183928286600112	-8.76552740091007	1.85904308350989e-18	7.90062834375579e-18
"YAL036C"	1755.7952901525	-3.27466046164918	0.0994653870869123	-32.9226131577591	1.04348585303005e-237	6.76283181348773e-236
"YAL037C-B"	2854.54839459802	-1.03941078894945	0.2483974216686	-4.18446689972563	2.8583609053539e-05	6.38794380262021e-05
"YAL038W"	144851.719220749	-1.27207775538919	0.135579813185156	-9.38250116668892	6.4425950335517e-21	2.94876118731981e-20
"YAL059W"	553.207358806899	-3.41290681770261	0.165573358208274	-20.6126568587776	2.11308886878868e-94	3.87958327439643e-93
"YAL060W"	4394.88882238651	2.17259300608159	0.121495671808239	17.8820609306204	1.62709704536305e-71	2.14333657540608e-70
"YAL061W"	3023.06706017884	4.6451071874731	0.154297305407949	30.1049145038005	4.17834288342627e-199	2.00591409092486e-197
"YAL062W"	831.380248467812	1.30105771196366	0.16932522353807	7.6837796801794	1.54462217196424e-14	5.73022111991998e-14
"YAR002C-A"	4831.15529794969	-1.21222642921339	0.183488024523476	-6.60656973315603	3.9332704257611e-11	1.27969506171474e-10
"YAR008W"	224.510511692424	-2.25606782865501	0.167336304045695	-13.4822377099888	1.98979135013341e-41	1.5297553665735e-40
"YAR015W"	2643.0283543078	-1.06580383655096	0.143467334004756	-7.42889553182625	1.09508189133907e-13	3.92762907458135e-13
"YAR020C"	45.8268538863051	1.03144557403389	0.287743660418498	3.58459877980889	0.000337596778336306	0.000679281192299783
"YAR023C"	158.242121322759	1.39269164877529	0.187708882668567	7.41942325251774	1.17631438971061e-13	4.21198539210745e-13
"YAR027W"	1816.92459849715	1.92026372819158	0.14119415515351	13.6001644409701	3.99534131746935e-42	3.13864328224471e-41
"YAR064W"	24.7724556118067	-1.76829021669675	0.434933242789823	-4.06565891665185	4.78969433102247e-05	0.000105191490882266
"YAR075W"	15.4073562782116	-2.91399187780989	0.789214719613866	-3.69226752288097	0.000222263483213706	0.000456863188933722
"YBL004W"	918.664199518626	-4.28978553728048	0.197259862358184	-21.7468748380808	7.39487585402765e-105	1.52146636222074e-103
"YBL009W"	512.783204815259	-1.86996386488012	0.127009982678905	-14.7229676395406	4.59064348236642e-49	4.09806617206843e-48
"YBL015W"	1358.77117082342	1.92052925596593	0.117737276336403	16.3119898449029	8.11069763325694e-60	9.03186105861481e-59
"YBL018C"	145.601896162031	-2.53548771550405	0.255095351749014	-9.93937246649124	2.80589126973429e-23	1.36013323254659e-22
"YBL024W"	1381.86808450193	-1.73120741967293	0.100899820230076	-17.1576858682737	5.50643746349602e-66	6.70812428588679e-65
"YBL026W"	145.994137480973	-1.21246886814301	0.366701445406294	-3.30641965918524	0.000944964446490871	0.00180339062947801
"YBL027W"	15132.958901514	-2.74145768737004	0.184501167684865	-14.8587552142356	6.10489925417271e-50	5.61675324114536e-49
"YBL028C"	178.274028332498	-4.3785734248623	0.26424242797128	-16.5702891033767	1.14275057011803e-61	1.31782321084252e-60
"YBL029C-A"	344.883430921618	2.03837248165392	0.185470389058588	10.9902852525425	4.25578922280797e-28	2.38184541908622e-27
"YBL035C"	409.293901202041	-1.58365318179877	0.136550989914322	-11.5975225283422	4.24180634191065e-31	2.52443956858796e-30
"YBL039C"	3912.3555661783	-6.77684648155058	0.157050674759966	-43.1506995554665	0	0
"YBL039W-B"	78.8289860508458	1.59517929966638	0.247448038849393	6.44652229649419	1.14445786497283e-10	3.64483116603878e-10
"YBL042C"	2055.65826161728	-1.93657808680701	0.136849829529701	-14.1511180062282	1.83811573632956e-45	1.54511388938416e-44
"YBL044W"	26.2896079196514	1.67954163087378	0.569374591761113	2.94980080807408	0.00317978864187156	0.00567719288924783
"YBL045C"	2588.51468916372	1.14490696480303	0.0686479623609449	16.6779453523064	1.89629738047351e-62	2.22240566416796e-61
"YBL047C"	5934.17377928079	1.23569034724983	0.0999476521447418	12.3633754343757	4.12466084996203e-35	2.70840192184437e-34
"YBL048W"	40.0714233775494	2.15334534679267	0.400060270172923	5.38255234857962	7.3437009921882e-08	1.99307060847453e-07
