""	"baseMean"	"log2FoldChange"	"lfcSE"	"stat"	"pvalue"	"padj"
"YAL016C-A"	31.7905798927562	1.00917663403212	0.41848887603331	2.41147779983474	0.0158880190700635	0.0376326355535793
"YAL016C-B"	36.4965112530306	-1.03091786200639	0.340802677604301	-3.0249699598997	0.00248657823418747	0.00767469872669323
"YAL017W"	1142.58550379625	-1.40318304198888	0.23430649659758	-5.98866468648898	2.11570839871226e-09	2.25971880232209e-08
"YAL025C"	417.789436073827	1.48210989735898	0.242628900414724	6.10854640492381	1.00542627864815e-09	1.14094508385398e-08
"YAL034C"	812.399157652244	-1.19898442342628	0.106731099613816	-11.2336931575197	2.78585482454708e-29	2.32948781710482e-27
"YAL036C"	1755.7952901525	1.25880303148539	0.102208121822718	12.3160763453691	7.42183181220756e-35	1.15038393089217e-32
"YAL061W"	3023.06706017884	-1.05703288094121	0.146167197816538	-7.23166959982325	4.7709178498413e-13	8.858885150028e-12
"YAL064C-A"	33.8929981269543	-1.08813210462101	0.449526655957437	-2.4206175322427	0.0154941696283461	0.0368018538465035
"YAR002C-A"	4831.15529794969	1.06012780313953	0.183415974032398	5.77990989461074	7.47406440187536e-09	7.38688635675239e-08
"YAR008W"	224.510511692424	1.04670376388534	0.172045367492864	6.08388228720398	1.1730674324379e-09	1.31247245301811e-08
"YAR042W"	722.754839413081	-1.05210857078984	0.144723938966574	-7.26976185351642	3.60121805321888e-13	6.75095596702242e-12
"YAR064W"	24.7724556118067	1.11907228269432	0.439527719666831	2.54607896753951	0.0108940540934061	0.0273211182966045
"YAR075W"	15.4073562782116	3.0186344267137	0.778924396602497	3.87538821467186	0.000106454842351427	0.00047810637677973
"YBL018C"	145.601896162031	1.4965864585504	0.258454579660793	5.79052017772172	7.01687675618027e-09	7.00035349851266e-08
"YBL026W"	145.994137480973	1.0272710012658	0.3658012034071	2.80827671341078	0.00498074089354958	0.013918113381546
"YBL028C"	178.274028332498	1.87060440996271	0.278922139626554	6.70654689680512	1.99283822147769e-11	2.87829247670244e-10
"YBL039C"	3912.3555661783	2.78860981187545	0.160698914746214	17.3530096097998	1.87175956731047e-67	2.97375801256451e-64
"YBL044W"	26.2896079196514	1.13893772993635	0.487575358774218	2.33592143130383	0.0194953367770401	0.0446778697614658
"YBL054W"	657.61197573742	1.16090367005164	0.232640772381281	4.99011268819641	6.03440790705315e-07	4.27521318275616e-06
"YBL068W"	548.601498376398	1.05798501215265	0.144565252111559	7.31839080760719	2.50962103499085e-13	4.81832074844919e-12
"YBL071C"	322.177994737224	1.13450077894939	0.179225540682468	6.33001733251495	2.45133661416009e-10	3.01157550949101e-09
